Month,Year,Location,Latitude,Longitude,State,MinTemp,MaxTemp,Rainfall,WindGustSpeed,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
7,2008,Adelaide,-34.9285,138.6007,SA,7,14.5,3.36,38.5,73.1,58.9,1021.1,1019.6,10.7,13.5
8,2008,Adelaide,-34.9285,138.6007,SA,5.9,14.6,4.03,35.8,75.5,57.9,1027,1025.5,10,13.5
9,2008,Adelaide,-34.9285,138.6007,SA,9.5,20.2,0.62,39.8,51.4,37.1,1019.8,1017.6,15.2,19.2
10,2008,Adelaide,-34.9285,138.6007,SA,12.3,25.1,0.19,36.8,45.5,29.3,1021.2,1019.1,17.8,24
11,2008,Adelaide,-34.9285,138.6007,SA,14.2,24.6,0.49,42.1,52.7,35.4,1012.9,1011.2,18.5,23.1
12,2008,Adelaide,-34.9285,138.6007,SA,15.4,25.5,1.3,36.6,55.8,41.1,1011.8,1010.1,19.2,24
1,2009,Adelaide,-34.9285,138.6007,SA,18,31.9,0.04,40,38.7,23.8,1014.3,1012.3,23.5,30.6
2,2009,Adelaide,-34.9285,138.6007,SA,18.9,31.5,0.03,40.5,42.4,29.4,1014.5,1012.8,23.3,29.3
3,2009,Adelaide,-34.9285,138.6007,SA,15,26.1,0.74,36.6,58.6,40.8,1017.6,1016.1,18.6,24.6
4,2009,Adelaide,-34.9285,138.6007,SA,13,22.9,2.45,35.1,58.1,45.4,1019.8,1017.6,17.6,21.5
5,2009,Adelaide,-34.9285,138.6007,SA,10.5,18.1,2.03,28.5,74.5,60.5,1024.6,1022.4,14,17.2
6,2009,Adelaide,-34.9285,138.6007,SA,8.6,16.5,1.73,34.3,75.2,60.1,1015,1013.1,11.8,15.4
7,2009,Adelaide,-34.9285,138.6007,SA,9,15.8,3.52,38.2,76,59.9,1018,1016.5,11.3,14.9
8,2009,Adelaide,-34.9285,138.6007,SA,9.3,18.2,1.93,44.2,67.8,52,1014.8,1012.7,13.2,17.2
9,2009,Adelaide,-34.9285,138.6007,SA,10.6,19.7,2.25,42.7,54.6,46.5,1014.4,1012.2,15.4,18
10,2009,Adelaide,-34.9285,138.6007,SA,11.5,21.9,0.59,39.3,53.6,40.8,1021.1,1019.4,16.2,20.7
11,2009,Adelaide,-34.9285,138.6007,SA,18,30.8,1.41,41.4,44.9,31.6,1015.6,1013.6,23.7,29.1
12,2009,Adelaide,-34.9285,138.6007,SA,15.9,28.5,0.59,38.5,47.4,32.7,1016.9,1015.2,21.5,27
1,2010,Adelaide,-34.9285,138.6007,SA,18.2,31.3,0.31,37.5,43.4,28.9,1014.3,1012.5,23.2,29.4
2,2010,Adelaide,-34.9285,138.6007,SA,19,31.4,0.2,38.3,49,31.9,1016.3,1014.6,23.4,29.8
3,2010,Adelaide,-34.9285,138.6007,SA,16.1,27.6,0.63,35.6,56.5,36.9,1020.3,1018.2,19.5,26.1
4,2010,Adelaide,-34.9285,138.6007,SA,14.2,24.2,1.7,35,62.1,46.3,1019.7,1017.3,18.5,22.9
5,2010,Adelaide,-34.9285,138.6007,SA,10.4,20,1.96,30.7,65.2,47.8,1020.1,1017.6,14.7,19
6,2010,Adelaide,-34.9285,138.6007,SA,7.5,15.7,2.35,32.2,80.8,58.6,1025.3,1023.2,10.6,14.7
7,2010,Adelaide,-34.9285,138.6007,SA,6.6,15.4,2.14,29.4,79.9,60.3,1025.5,1023.2,10.1,14.3
